	text_a	text_b	label
10516	Pt's mental status markely improved throughout the course of the Abx and post-surgical intervention.	 The patient had no cognitive impairment. 	contradiction
10518	They did give his 3 gms of Unsayn for potential infection. .	 Patient has an unknown source of infection	entailment
10519	They did give his 3 gms of Unsayn for potential infection. .	 Patient has not received IV medications	contradiction
10521	The infant was placed on the hypoglycemia protocol due to small for gestational age.	 The patient weighs less than expected. 	entailment
10522	The infant was placed on the hypoglycemia protocol due to small for gestational age.	 The patient is large for gestational age. 	contradiction
10524	At this time, he presents for discussion for his continent urinary diversion.	 The patient had bladder surgery. 	entailment
10525	At this time, he presents for discussion for his continent urinary diversion.	 The patient has a normal bladder.	contradiction
10526	At this time, he presents for discussion for his continent urinary diversion.	 The patient had bladder cancer. 	neutral
10528	No fevers, chills, nausea, vomiting or diarrhea.	 The patient has gastroenteritis. 	contradiction
10530	Multiple premature ventricular contractions.	 EKG is abnormal 	entailment
10531	Multiple premature ventricular contractions.	 EKG is normal 	contradiction
10532	Multiple premature ventricular contractions.	 The patient has a history of heart disease 	neutral
10533	[**Name14 (STitle) 715**] w/ reversible defect	 The patient has coronary artery disease. 	entailment
10534	[**Name14 (STitle) 715**] w/ reversible defect	 The patient has normal coronary arteries. 	contradiction
10536	Patient lives in [**Hospital3 **] Manor Nursing Home and was in her usual state of health until 4 days PTA when she developed productive cough of white sputum (nonbloody) and intermittent SOB. 	 patient has a cough	entailment
10537	Patient lives in [**Hospital3 **] Manor Nursing Home and was in her usual state of health until 4 days PTA when she developed productive cough of white sputum (nonbloody) and intermittent SOB. 	 patient has no shortness of breath	contradiction
10538	Patient lives in [**Hospital3 **] Manor Nursing Home and was in her usual state of health until 4 days PTA when she developed productive cough of white sputum (nonbloody) and intermittent SOB. 	 patient has pneumonia	neutral
10539	One month prior to this admission, the patient reports not feeling well with worsening gastric distress.	 Patient has abdominal pain	entailment
10541	One month prior to this admission, the patient reports not feeling well with worsening gastric distress.	 Patient has GERD	neutral
10542	He also reports easy bruising, although he reports that this is a [**Last Name 7352**] problem that has not worsened in recent months. .	 His bruising has not gotten worse in the last few months	entailment
10543	He also reports easy bruising, although he reports that this is a [**Last Name 7352**] problem that has not worsened in recent months. .	 His bruising has gotten worse in the last few months	contradiction
10545	After this her PCW pressure dropped to 15.	 Her pulmonary wedge pressure dropped to within normal range 	entailment
10546	After this her PCW pressure dropped to 15.	 Her pulmonary wedge pressure remained high 	contradiction
10550	PRENATAL SCREENS:  O negative, antibody positive (due to RhoGAM).	 The patient has multiple children.	neutral
10551	She was started on the sepsis protocol and a central line and foley catheter were placed.	 The patient has a systemic inflammatory response. 	entailment
10552	She was started on the sepsis protocol and a central line and foley catheter were placed.	 The patient has no IV access. 	contradiction
10553	She was started on the sepsis protocol and a central line and foley catheter were placed.	 The patient has bacteremia. 	neutral
10554	He has been feeling well, he denies any fevers, chills, night sweats, shortness of breath, chest pain, nausea or vomiting.	 Patient has negative ROS	entailment
10555	He has been feeling well, he denies any fevers, chills, night sweats, shortness of breath, chest pain, nausea or vomiting.	 Patient has fevers	contradiction
10556	He has been feeling well, he denies any fevers, chills, night sweats, shortness of breath, chest pain, nausea or vomiting.	 Patient has normal physical exam	neutral
10560	She denied any pleuritic chest pain.	 The patient does not have chest pain.	entailment
10563	COPD HTN Glaucoma ?CAD	 History of pulmonary disease	entailment
10565	COPD HTN Glaucoma ?CAD	 The patient is on 2L of home oxygen 	neutral
10569	He went for cardiac catheterization today ([**3221-10-8**]) which showed 70% LMCA stenosis, 80% proximal LAD stenosis, 40% stenosis LCx, and diffuse disease of the RCA (80% proximal, 95% mid, and 95% mid-distal).	 He has coronary artery disease 	entailment
10570	He went for cardiac catheterization today ([**3221-10-8**]) which showed 70% LMCA stenosis, 80% proximal LAD stenosis, 40% stenosis LCx, and diffuse disease of the RCA (80% proximal, 95% mid, and 95% mid-distal).	 He has no heart disease	contradiction
10571	He went for cardiac catheterization today ([**3221-10-8**]) which showed 70% LMCA stenosis, 80% proximal LAD stenosis, 40% stenosis LCx, and diffuse disease of the RCA (80% proximal, 95% mid, and 95% mid-distal).	 He has a history of high blood pressure and cholesterol	neutral
10572	Per notes, the pt. was found lying on the floor by his neighbor the morning of admission.	 Patient has incomplete history	entailment
10573	Per notes, the pt. was found lying on the floor by his neighbor the morning of admission.	 Patient has negative ROS and exam	contradiction
10574	Per notes, the pt. was found lying on the floor by his neighbor the morning of admission.	 Patient has confusion	neutral
10576	DM, dx in [**3327**] 5.	 the patient has normal blood sugars	contradiction
10577	DM, dx in [**3327**] 5.	 the patient is obese	neutral
10578	She denies dyspnea on exertion, PND, orthopnea and ankle swelling.	 patient denies signs of CHF	entailment
10579	She denies dyspnea on exertion, PND, orthopnea and ankle swelling.	 patient has symptoms of CHF	contradiction
10580	She denies dyspnea on exertion, PND, orthopnea and ankle swelling.	 patient has hypertension	neutral
10582	He reportedly stops talking, and his arms jerk.	 The patient does not have a neuropsychological disorder. 	contradiction
10583	He reportedly stops talking, and his arms jerk.	 The patient had tourettes. 	neutral
10584	The patient always requires two pillow elevation during sleeping.	 Patient has dyspnea at night	entailment
10585	The patient always requires two pillow elevation during sleeping.	 Patient has no shortness of breath	contradiction
10587	She does complain of some night sweats.	 She has nighttime diaphoresis	entailment
10588	She does complain of some night sweats.	 She denies fever, chills, night sweats	contradiction
10589	She does complain of some night sweats.	 She has cancer	neutral
10590	She does complain of some night sweats.	 patient has night sweats	entailment
10591	She does complain of some night sweats.	 the patient denies night sweats	contradiction
10593	"Per report, pt had 2 ""NSTEMI""s in the last 6 months, but has refused cardiac caths until now."	 The patient has coronary artery disease. 	entailment
10594	"Per report, pt had 2 ""NSTEMI""s in the last 6 months, but has refused cardiac caths until now."	 The patient has never experienced chest pain. 	contradiction
10595	"Per report, pt had 2 ""NSTEMI""s in the last 6 months, but has refused cardiac caths until now."	 The patient has heart failure. 	neutral
10597	She responded well to bag and mask ventilation after bulb suctioning.	 The patient does not require respiratory support. 	contradiction
10599	Coronary artery disease status post coronary artery bypass graft surgery in [**2942**].	 Patient has CAD	entailment
10600	Coronary artery disease status post coronary artery bypass graft surgery in [**2942**].	 Patient has never had surgery	contradiction
10602	History of bullous pemphigus.	 Bullous pemphigus is a skin condition with an autoimmune etiology. 	entailment
10604	History of bullous pemphigus.	 The patient is covered with blisters. 	neutral
10606	She denies any blood in her stools.	 the patient has melena	contradiction
10610	He reports feeling well until the morning of [**11-19**], when he awoke with fevers, chills, and lightheadedness.	 He has influenza	neutral
10611	Maternal fetal medicine involved in care and mother underwent close monitoring with a nonstress test and biophysical profiles.	 The pregnancy is high-risk 	entailment
10613	Maternal fetal medicine involved in care and mother underwent close monitoring with a nonstress test and biophysical profiles.	 The mother has multiple chronic medical conditions	neutral
10614	The patient also received 2 units of packed red blood cells.	 Patient had prior anemia	entailment
10615	The patient also received 2 units of packed red blood cells.	 Patient has no history of low Hgb	contradiction
10616	The patient also received 2 units of packed red blood cells.	 Patient has normal HCT after transfusion	neutral
10617	On [**3135-10-17**] he also underwent an ERCP that revealed common bile duct stricture which was stented with a plastic stent.	 He underwent surgery to treat part of the biliary tree 	entailment
10618	On [**3135-10-17**] he also underwent an ERCP that revealed common bile duct stricture which was stented with a plastic stent.	 ERCP revealed normal biliary tree anatomy	contradiction
10621	Blood cx's were drawn.	 No suspicion of infection	contradiction
10626	The morning of admission he felt very fatigued and lightheaded, so he called EMS and was taken to [**Hospital3 **].	 Patient has symptoms	entailment
10627	The morning of admission he felt very fatigued and lightheaded, so he called EMS and was taken to [**Hospital3 **].	 Patient has no symptoms	contradiction
10628	The morning of admission he felt very fatigued and lightheaded, so he called EMS and was taken to [**Hospital3 **].	 Patient has syncope	neutral
10629	Breath sounds clear and equal.	 lungs are clear on exam	entailment
10630	Breath sounds clear and equal.	 patient has crackles bilaterally	contradiction
10631	Breath sounds clear and equal.	 normal heart sounds	neutral
10632	[**Age over 90 **] year old man with CVA, R hemiparesis, COPD, PVD, was found unresponsive at nursing home.	 the patient was unresponsive	entailment
10633	[**Age over 90 **] year old man with CVA, R hemiparesis, COPD, PVD, was found unresponsive at nursing home.	 the patient has normal baseline function	contradiction
10634	[**Age over 90 **] year old man with CVA, R hemiparesis, COPD, PVD, was found unresponsive at nursing home.	 the patient had a cardiac arrest	neutral
10637	EMS estimates pt was down less than 5 minutes when they arrived at 5:44pm.	 Patient had a STEMI	neutral
10638	72 yoM w/ h/o CAD, CHF (EF 35-40%), recently dx C. diff and RLE DVT presents from NH following an unwitnessed fall.	 the patient has a recent fall	entailment
10639	72 yoM w/ h/o CAD, CHF (EF 35-40%), recently dx C. diff and RLE DVT presents from NH following an unwitnessed fall.	 the patient denies falls	contradiction
10643	Ventral hernia 12.	 The patient is obese. 	neutral
10646	There was no interpartum fever or other clinical evidence of chorioamnionitis.	 The baby does not have a fever. 	neutral
10647	Insulin dependent diabetes.	 The patient has diabetes.	entailment
10654	She had a Thallium stress in [**3315-11-25**] which revealed a reversible inferolateral defect and posterior bibasilar scar, but the patient refused cardiac catheterization at that time.	 the patient has normal coronary arteries	contradiction
10655	She had a Thallium stress in [**3315-11-25**] which revealed a reversible inferolateral defect and posterior bibasilar scar, but the patient refused cardiac catheterization at that time.	 the patient has stable angina	neutral
10656	[**Known patient lastname 78**] was initially admitted to the hospital with an upper gastrointestinal bleed to the Medical Intensive Care Unit and then transferred out to our Medicine Service on [**11-25**].	 The patient was treated for bleeding from the gastrointestinal tract 	entailment
10657	[**Known patient lastname 78**] was initially admitted to the hospital with an upper gastrointestinal bleed to the Medical Intensive Care Unit and then transferred out to our Medicine Service on [**11-25**].	 The patient has no history of GI bleed 	contradiction
10659	The mother received antibiotics greater than 24 hours prior to delivery.	 She required antimicrobial drugs in pregnancy	entailment
10660	The mother received antibiotics greater than 24 hours prior to delivery.	 She had no indications for antibiotics 	contradiction
10661	The mother received antibiotics greater than 24 hours prior to delivery.	 She tested positive for group B strep bacteria 	neutral
10662	She was floppy with decreased movement of upper extremities and coarse breath sounds.	 The patient an abnormal pulmonary exam. 	entailment
10664	She was floppy with decreased movement of upper extremities and coarse breath sounds.	 The patient was recently born. 	neutral
10665	His calcium, magnesium and phosphorous were 1.08, 1.9 and 4.0, which were repleted as needed.	 The patient has normal potassium. 	entailment
10668	She now presents with 7-10 days of bilateral low back pain, characterized as [**8-2**] in severity.	 She complains of pain	entailment
10670	She now presents with 7-10 days of bilateral low back pain, characterized as [**8-2**] in severity.	 She has a recent history of heavy lifting	neutral
10671	[**Known patient lastname 17042**] is a 52 year old male with history of chronic lymphocytic leukemia status post allogeneic bone marrow transplant in [**3297**], cutaneous GVHD recent admission for pneumonia who presents with 3 days of shortness of [**Year (4 digits) 4846**].	 The patient has a malignancy. 	entailment
10673	[**Known patient lastname 17042**] is a 52 year old male with history of chronic lymphocytic leukemia status post allogeneic bone marrow transplant in [**3297**], cutaneous GVHD recent admission for pneumonia who presents with 3 days of shortness of [**Year (4 digits) 4846**].	 The patient has pneumonia. 	neutral
10674	(She later denied both of these statements.) She again became dyspneic and presented to the [**Hospital1 4**] ED. .	 Patient has trouble breathing	entailment
10675	(She later denied both of these statements.) She again became dyspneic and presented to the [**Hospital1 4**] ED. .	 Patient has normal O2 sat	contradiction
10676	(She later denied both of these statements.) She again became dyspneic and presented to the [**Hospital1 4**] ED. .	 Patient has PE	neutral
10677	She was transferred to the Fenard ICU for further care.	 She required intensive care	entailment
10678	She was transferred to the Fenard ICU for further care.	 She was discharged home 	contradiction
10682	Type 2 DM 8.	 Patient with type 2 diabetes are overweight. 	neutral
10683	Cr 0.7 CK: 522.	 Creatinine is within normal limits	entailment
10687	He is currently pain free.	 The patient is in severe pain. 	contradiction
10688	He is currently pain free.	 The patient is taking pain medication. 	neutral
10689	At approximately 3 a.m. the husband heard a scream and went to the room to find that she had fallen between the bed and the wall.	 The patient experienced a fall at night.	entailment
10691	At approximately 3 a.m. the husband heard a scream and went to the room to find that she had fallen between the bed and the wall.	 The patient is at risk of having a femur fracture. 	neutral
10692	She was noted to have an abnormal fetal heart tracing at this time.	 The patient is pregnant. 	entailment
10693	She was noted to have an abnormal fetal heart tracing at this time.	 The patient is not pregnant. 	contradiction
10694	She was noted to have an abnormal fetal heart tracing at this time.	 The patients fetus is in distress. 	neutral
10695	She again had difficulty speaking and it was apparently difficult to get the words out.	 Patient has aphasia	entailment
10699	Not anticoagulated due to h/o GIB, pleurodesis not an option d/t transudative. # Tibial talar dislocation with comminuted distal tib fib fracture status post surgery [**3164**] # hx syncope in [**3164**], unclear etiology	 The patient is anti coagulated.	contradiction
10700	Not anticoagulated due to h/o GIB, pleurodesis not an option d/t transudative. # Tibial talar dislocation with comminuted distal tib fib fracture status post surgery [**3164**] # hx syncope in [**3164**], unclear etiology	 The patient has atrial fibrillation.	neutral
10702	He was referred to Dr. [**Last Name (STitle) 1396**] for pulmonary function tests and a chest CT.	 patient has no respiratory complaints	contradiction
10703	He was referred to Dr. [**Last Name (STitle) 1396**] for pulmonary function tests and a chest CT.	 patient is seeing a pulmonologist	neutral
10705	Echocardiogram revealed an ejection fraction of approximately 55% with 3-4+ mitral regurgitation, severe prolapse of the anterior leaflet.	 Patient has normal echo	contradiction
10706	Echocardiogram revealed an ejection fraction of approximately 55% with 3-4+ mitral regurgitation, severe prolapse of the anterior leaflet.	 Patient has CHF	neutral
10709	He is currently on his home oxygen requirement (2L NC). .	 He has COPD	neutral
10710	The patient notes feeling chills but was not able to take his temperature.	 Patient has subjective fevers	entailment
10711	The patient notes feeling chills but was not able to take his temperature.	 Patient has negative ROS	contradiction
10712	The patient notes feeling chills but was not able to take his temperature.	 Patient has a UTI	neutral
10713	As it was felt he may need surgical intervention, he was transferred to [**Hospital1 68**] for further evaluation and management.	 He required further medical attention	entailment
10715	As it was felt he may need surgical intervention, he was transferred to [**Hospital1 68**] for further evaluation and management.	 He has severe abdominal pain 	neutral
10716	He currently feels well and denies SOB, palpitations, fevers, and chills. .	 Patient has negative ROS	entailment
10718	He currently feels well and denies SOB, palpitations, fevers, and chills. .	 Patient has negative examination	neutral
10722	She denies any abdominal pain, diarrhea, dysphagia, nausea or vomiting.	 She does not have appendicitis 	entailment
10723	She denies any abdominal pain, diarrhea, dysphagia, nausea or vomiting.	 She has acute appendicitis 	contradiction
10727	PAST MEDICAL HISTORY:   The patient has no significant past medical history (per subsequent interview when the patient was awake).	 The patient has no surgical history or allergies	neutral
10728	Despite negative ETOH level she claims she has been drinking a bottle of wine daily but also made several confusing statements about timeline of her ETOH use so it is unclear if she actively using alcohol now.	 The patient claims to have alcohol consumption levels compatible with alcoholism. 	entailment
10729	Despite negative ETOH level she claims she has been drinking a bottle of wine daily but also made several confusing statements about timeline of her ETOH use so it is unclear if she actively using alcohol now.	 The patient claims to not consume alcohol. 	contradiction
10730	Despite negative ETOH level she claims she has been drinking a bottle of wine daily but also made several confusing statements about timeline of her ETOH use so it is unclear if she actively using alcohol now.	 The patient has cirrhosis. 	neutral
10734	O2sats in 70s-80s on 100% blow-by oxygen.	 Patient has dyspnea	entailment
10735	O2sats in 70s-80s on 100% blow-by oxygen.	 Patient has normal oxygenation	contradiction
10736	O2sats in 70s-80s on 100% blow-by oxygen.	 Patient has chest pain	neutral
10737	The patient was electively intubated in the field after being found tachypneic and short of breath.	 The patient’s respiratory rate was high 	entailment
10738	The patient was electively intubated in the field after being found tachypneic and short of breath.	 The patient’s vitals were normal 	contradiction
10739	The patient was electively intubated in the field after being found tachypneic and short of breath.	 The patient has pulmonary disease	neutral
10742	Patient states that he began feeling poorly the morning of admission when he noticed his urine had become 'black' and cloudy.	 the patient has hematuria	neutral
10743	On exam, there was no stridor or wheezing.	 Patient has negative respiratory exam	entailment
10744	On exam, there was no stridor or wheezing.	 Patient has poor O2 saturations	contradiction
10745	On exam, there was no stridor or wheezing.	 Patient has normal ROS	neutral
10746	It was not associated with any shortness of breath, nausea, vomiting, or she tried standing during this episode.	 She did not have vomiting with this episose	entailment
10747	It was not associated with any shortness of breath, nausea, vomiting, or she tried standing during this episode.	 She had vomiting and dyspnea with this episode	contradiction
10749	Congestive heart failure with a reported ejection fraction of 40% in [**2552**].	 Patient has abnormal ejection fraction	entailment
10751	Congestive heart failure with a reported ejection fraction of 40% in [**2552**].	 Patient has pulmonary edema	neutral
10752	She had some LUQ abd pain with vomiting over the weekend but otherwise no other abd symptoms.	 He had nausea and left upper quadrant abdominal pain	entailment
10755	The patient underwent a rest MIBI on COOL-MI Protocol in [**2919-5-9**], which demonstrated severe anteroapical, apical lateral and apical defects as well as moderate septal defects.	 The patient received a stress test	entailment
10757	The patient underwent a rest MIBI on COOL-MI Protocol in [**2919-5-9**], which demonstrated severe anteroapical, apical lateral and apical defects as well as moderate septal defects.	 The patient has a history of myocardial infarction	neutral
10758	On physical examination, the patient was found to be in congestive heart failure, and on telemetry he was found to be in atrial flutter with 2:1 conduction.	 The patient has an arrhythmia 	entailment
10761	He was born to a 23 year old gravida I, para 0 to I month.	 Mother of infant is 23 years old	entailment
10763	He was born to a 23 year old gravida I, para 0 to I month.	 Delivery was uncomplicated	neutral
10765	The patient states that over the past week, he has been having more LE edema and shortness of breath.	 The patient denies shortness of breath.	contradiction
10766	The patient states that over the past week, he has been having more LE edema and shortness of breath.	 The patient has pulmonary edema.	neutral
10767	He was in his usual state of health until last evening when he started to feel unwell, and started experiencing malaise, and headache.	 The patient has symptoms of an infection. 	entailment
10769	He was in his usual state of health until last evening when he started to feel unwell, and started experiencing malaise, and headache.	 The patient has meningitis.	neutral
10771	Since [**12-21**], she has been hospitalized numerous times for respiratory distress.	 She has no history of respiratory problems 	contradiction
10772	Since [**12-21**], she has been hospitalized numerous times for respiratory distress.	 She has COPD 	neutral
10774	PMH: s/p PCI [**3423**], Hypercholesterolemia, Gastroesophageal Refulx Disease, Anxiety, Polymyalgia Rheumatica, s/p Lap Cholecystectomy	 The patient has no surgical history 	contradiction
10778	Mother admitted a day before delivery with hypertension and was transferred from [**Hospital3 828**] to [**First Name4 (NamePattern1) 1046**] [**Last Name (NamePattern1) **] [**First Name (Titles) **] [**Last Name (Titles) **] for further management.	 She has a history of preeclampsia	neutral
10779	[**Known patient lastname 14935**] is a 78 year-old male with a history of SSS s/p PPM, multiple myeloma c/b CRI, who presented today in Vfib arrest.	 the patient had cardiac arrest	entailment
10780	[**Known patient lastname 14935**] is a 78 year-old male with a history of SSS s/p PPM, multiple myeloma c/b CRI, who presented today in Vfib arrest.	 the patient did not lose conciousness	contradiction
10782	Pulmonary was consulted to assess her shortness of breath on [**11-1**] and electrocardiogram was ordered and read as normal.	 the patient had a normal EKG	entailment
10783	Pulmonary was consulted to assess her shortness of breath on [**11-1**] and electrocardiogram was ordered and read as normal.	 the patient has a STEMI	contradiction
10784	Pulmonary was consulted to assess her shortness of breath on [**11-1**] and electrocardiogram was ordered and read as normal.	 the patient has chest pain	neutral
10785	He states he did vomit last night x2 with some dark spots in the emesis.	 patient has emesis	entailment
10786	He states he did vomit last night x2 with some dark spots in the emesis.	 patient denies vomiting	contradiction
10787	He states he did vomit last night x2 with some dark spots in the emesis.	 patient has gi bleed	neutral
10788	He then pinched his nose and did a valsalva maneuver to clear the congestion.	 Patient has positive ROS	entailment
10789	He then pinched his nose and did a valsalva maneuver to clear the congestion.	 Patient has no symptoms	contradiction
10790	He then pinched his nose and did a valsalva maneuver to clear the congestion.	 Patient has sinusitis	neutral
10791	HISTORY: 50-year-old male status post recent right endarterectomy of the internal carotid artery.	 patient has carotid artery disease	entailment
10793	HISTORY: 50-year-old male status post recent right endarterectomy of the internal carotid artery.	 patient has hypercholersterolemia	neutral
10795	2) Hypertension in the past.	 The patient suffers from hypotension.	contradiction
10798	Rupture of membranes occurred 14 hours prior to delivery.	 Rupture of amniotic sac occurred shortly before delivery	contradiction
10799	Rupture of membranes occurred 14 hours prior to delivery.	 Pregnancy was uncomplicated	neutral
10800	Because of this it was decided to full septic work up and start her on antibiotics.	 Patient has evidence of infection	entailment
10801	Because of this it was decided to full septic work up and start her on antibiotics.	 Patient has normal vital signs	contradiction
10802	Because of this it was decided to full septic work up and start her on antibiotics.	 Patient has a UTI	neutral
10803	Concern for PE, no CTA due to ARF, wanted to get VQ scan but unable to O/N.	 The patient is short of breath. 	entailment
10805	Concern for PE, no CTA due to ARF, wanted to get VQ scan but unable to O/N.	 The patient has a pulmonary embolism.	neutral
10809	Gallstone pancreatitis Necrotizing pancreatic pseudocyst A-fib Syncope Glaucoma HTN IDDM TIA/Stroke - minimal residual effect	 Patient has had multiple chronic conditions	entailment
10810	Gallstone pancreatitis Necrotizing pancreatic pseudocyst A-fib Syncope Glaucoma HTN IDDM TIA/Stroke - minimal residual effect	 Patient has not had abdominal imaging	contradiction
10811	Gallstone pancreatitis Necrotizing pancreatic pseudocyst A-fib Syncope Glaucoma HTN IDDM TIA/Stroke - minimal residual effect	 Patient has abdominal pain	neutral
10813	She used to abuse various substances intranasally, and smokes crack.	 No history of drug abuse	contradiction
10814	She used to abuse various substances intranasally, and smokes crack.	 History of drug overdose 	neutral
10815	She denies fever, nausea and/or emesis.	 Patient has negative ROS	entailment
10817	She denies fever, nausea and/or emesis.	 Patient has negative exam	neutral
10818	She was admitted for MS changes and had intermittent worsening periods of confusion during her hospital course.	 The patient has a mental problem. 	entailment
10820	She was admitted for MS changes and had intermittent worsening periods of confusion during her hospital course.	 The patient received a CT scan during work up. 	neutral
10822	﻿This mother is a 35-year-old, gravida 2, para 0, now 2.	 She has had no pregnancies	contradiction
10823	﻿This mother is a 35-year-old, gravida 2, para 0, now 2.	 She received fertility treatment	neutral
10825	[**Known patient lastname 13358**] is an 81 year old man with a history of PAF, PVD, hypertension and MSSA endocarditis who presents from home with mental status changes.	 The patient has normal mentation.	contradiction
10827	On transfer to the floor, patient denied any pain or SOB.	 The patient has no difficulty breathing	entailment
10828	On transfer to the floor, patient denied any pain or SOB.	 The patient has chest pain	contradiction
10829	On transfer to the floor, patient denied any pain or SOB.	 The patient has a history of heart disease	neutral
10830	HISTORY OF PRESENT ILLNESS:  The patient is an 18-year-old male shot in the subxiphoid region at a convenient store and transferred from [**Hospital 891**] Hospital where a right chest tube was placed and a CAT scan showed a liver injury.	 patient has gun shot wound	entailment
10831	HISTORY OF PRESENT ILLNESS:  The patient is an 18-year-old male shot in the subxiphoid region at a convenient store and transferred from [**Hospital 891**] Hospital where a right chest tube was placed and a CAT scan showed a liver injury.	 patient denies trauma.	contradiction
10833	Pt following simple commands, answers simple quetions.	 Patient is able to communicate 	entailment
10834	Pt following simple commands, answers simple quetions.	 The patient is comatose	contradiction
10835	Pt following simple commands, answers simple quetions.	 The patient has had head trauma 	neutral
10839	He states that his abdominal pain is much improved.	 The patient has improved abdominal pain.	entailment
10842	He had no fever, chills, diarrhea.	 Patient has negative ROS	entailment
10843	He had no fever, chills, diarrhea.	 Patient has active infection	contradiction
10844	He had no fever, chills, diarrhea.	 Patient has normal exam	neutral
10845	The patient complains of dizziness and postural orthostatic hypotension.	 Patient has low BP	entailment
10846	The patient complains of dizziness and postural orthostatic hypotension.	 Patient has normal exam	contradiction
10848	In the left cephalic vein starting at the antecubital fossa and extending superiorly up into the upper arm, just short of the shoulder, note is made of a thrombus within the cephalic vein.	 The patient has a left upper extremity DVT. 	entailment
10850	In the left cephalic vein starting at the antecubital fossa and extending superiorly up into the upper arm, just short of the shoulder, note is made of a thrombus within the cephalic vein.	 The patient has a clotting disorder. 	neutral
10852	After breaking her suspected seizure, she returned closer to her usual baseline mental status which involves responding to verbal and tactile stimuli.	 the patient has no history of altered mental status	contradiction
10853	After breaking her suspected seizure, she returned closer to her usual baseline mental status which involves responding to verbal and tactile stimuli.	 the patient has epilepsy	neutral
10857	She was being maintained on Unasyn, and Vancomycin was needed for dosing of her antibiotics to control any local foot sepsis/cellulitis.	 the patient has cellulitis of the foot	entailment
10859	She was being maintained on Unasyn, and Vancomycin was needed for dosing of her antibiotics to control any local foot sepsis/cellulitis.	 the patient has diabetes	neutral
10860	She complained of a headache, and her speech was somewhat slurred.	 Patient has signs of a stroke	entailment
10861	She complained of a headache, and her speech was somewhat slurred.	 Patient has normal speech	contradiction
10862	She complained of a headache, and her speech was somewhat slurred.	 Patient has CAD	neutral
10864	BP 170/115 upon arrival, down after some meds.	 Patient has normal vital signs	contradiction
10865	BP 170/115 upon arrival, down after some meds.	 Patient requires ICU care	neutral
10867	She has had known gallstones for the last 30-40 year without symptoms. .	 The patient has biliary colic. 	contradiction
10868	She has had known gallstones for the last 30-40 year without symptoms. .	 The patient has a high fat diet. 	neutral
10869	Pt is a 78yoF with HTN, AF on coumadin, CHF, hypothyroidism, and hyperlipidemia transferred from [**Hospital3 **] with a large left basal ganglia hemorrhage.	 The patient has an acute intracranial hemorrhage.	entailment
10870	Pt is a 78yoF with HTN, AF on coumadin, CHF, hypothyroidism, and hyperlipidemia transferred from [**Hospital3 **] with a large left basal ganglia hemorrhage.	 The patient has a normal brain.	contradiction
10871	Pt is a 78yoF with HTN, AF on coumadin, CHF, hypothyroidism, and hyperlipidemia transferred from [**Hospital3 **] with a large left basal ganglia hemorrhage.	 The patient had a hypertensive hemorrhage.	neutral
10872	It was non radiating, he denies any arm involvement, no lightheadedness, no nausea.	 the patient has pain	entailment
10873	It was non radiating, he denies any arm involvement, no lightheadedness, no nausea.	 the pain radiates to the arm	contradiction
10874	It was non radiating, he denies any arm involvement, no lightheadedness, no nausea.	 the patient has chest pain	neutral
10875	S/P right throcoscopy and decortication 17.	 The patient has had thoracic surgery. 	entailment
10877	S/P right throcoscopy and decortication 17.	 The patient has an empyema. 	neutral
10878	He was referred for stress test with was abnormal and is now referred for cardiac catheterization.	 the patient had abnormal stress test.	entailment
10879	He was referred for stress test with was abnormal and is now referred for cardiac catheterization.	 the patient had a negative stress test.	contradiction
10881	His respiratory coarse breath sounds bilaterally, decreased breath sounds.	 He has abnormal breath sounds on exam	entailment
10882	His respiratory coarse breath sounds bilaterally, decreased breath sounds.	 He has a normal respiratory exam 	contradiction
10883	His respiratory coarse breath sounds bilaterally, decreased breath sounds.	 He has pneumonia	neutral
10885	The daughter says that she spoke with her mother last night, at 9:30PM, when she seemed to be normal.	 The patient the patient was has not been known normal for greater than 48 hours. 	contradiction
10886	The daughter says that she spoke with her mother last night, at 9:30PM, when she seemed to be normal.	 The patient had a stroke.  	neutral
10887	His course was complicated by a COPD flare of which he was treated with a prednisone taper and a mild episode of CHF after fluid resuscitation and also C. diff. colitis for which he was treated with Flagyl.	 Patient has chronic medical condition	entailment
10889	His course was complicated by a COPD flare of which he was treated with a prednisone taper and a mild episode of CHF after fluid resuscitation and also C. diff. colitis for which he was treated with Flagyl.	 Patient has asthma	neutral
10890	In ED, T 103; HR 96; BP 130/70; RR 24; O2 sat 98% 2L NC.  no localizing symptoms, but difficult to assess given pt's dementia.	 Patient is febrile	entailment
10891	In ED, T 103; HR 96; BP 130/70; RR 24; O2 sat 98% 2L NC.  no localizing symptoms, but difficult to assess given pt's dementia.	 Patient has septic shock	contradiction
10893	He did not seek medical attention at this time, as he thought it was a muscle strain.	 The patient had musculoskeletal pain. 	entailment
10894	He did not seek medical attention at this time, as he thought it was a muscle strain.	 The patient did not have symptoms of a muscular strain. 	contradiction
10896	[**Name10 (NameIs) **] had been seen in an outside hospital emergency room on [**3379-6-28**] and received antibiotics but she did not take these and the subsequently saw her primary care physician two days later, and was prescribed Cipro but she didn't take that because of some reported allergy.	 the patient has an antibiotic allergy	entailment
10897	[**Name10 (NameIs) **] had been seen in an outside hospital emergency room on [**3379-6-28**] and received antibiotics but she did not take these and the subsequently saw her primary care physician two days later, and was prescribed Cipro but she didn't take that because of some reported allergy.	 the patient has no allergies	contradiction
